username,community,pagerank,betweenness,in_degree,out_degree,narrative_similarity,tweet_frequency,reply_ratio,is_buzzer
detikcom,100,0.0021056880652928,0.0,2,0,0.40415892173736,3,0.0,0
eventhoally,101,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
ourloveisgreag,102,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
sunnyafterneun,103,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
ENH_JAYS,104,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
kkyokadesu,105,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
kompilwon,106,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
kkitochu,107,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
konde_co,98,0.0009122830769677,0.0,1,0,0.3318656890723542,1,0.0,0
NetaTris,108,0.0014426852940011,1.645765445508706e-06,1,1,0.4655086967521917,1,1.0,0
rasjawa,108,0.0026693485588082,0.0,2,0,0.476613045899285,2,0.0,0
bg_mush,1,0.0007796825227094,0.0,0,1,0.1050625036956084,1,1.0,0
wahyuprsy,109,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
RaharjoK72001,0,0.0007796825227094,0.0,0,1,0.2068662903985484,1,1.0,0
ruslimarah98097,108,0.0007796825227094,0.0,0,1,0.4750922182979358,1,1.0,0
zulfikar_k360ib,2,0.0007796825227094,0.0,0,1,0.2033224814404929,1,1.0,0
guesswho1333,19,0.0007796825227094,0.0,0,1,0.360076220623924,1,1.0,0
madokafc1,110,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
arasyaziz,111,0.0007796825227094,0.0,0,1,0.7479008465076444,1,1.0,0
neohistoria_id,111,0.0014426852940011,0.0,1,0,0.747900846507644,1,0.0,0
masduke_x,2,0.0007796825227094,0.0,0,1,0.220931851779249,1,1.0,0
eajerigen,112,0.0007796825227094,0.0,0,1,0.4746807498551381,1,1.0,0
salam4jari,112,0.0027686908365845,0.0,3,0,0.3966100616416212,3,0.0,0
inibacem,113,0.0007796825227094,0.0,0,1,0.5773502691896255,1,1.0,0
SoundOfYogi,113,0.0014426852940011,0.0,1,0,0.5773502691896258,2,0.0,0
warunk_digital,114,0.0007796825227094,0.0,0,1,0.0,1,1.0,0
DedynurPalakka,1,0.0014426852940011,1.645765445508706e-06,1,1,0.1550269572213579,2,0.5,0
realfedinuril,1,0.0725812291959849,0.0,106,0,0.2208874273870155,1,0.0,0
acousticfadeley,1,0.0007796825227094,0.0,0,1,0.1443896619642103,1,1.0,0
efwilza,36,0.0007796825227094,0.0,0,1,0.2337706685333612,1,1.0,0
azalaeel,89,0.0007796825227094,0.0,0,1,0.5244621445368165,1,1.0,0
cokzalhariri,1,0.0007796825227094,0.0,0,1,0.2259481792910488,1,1.0,0
jannahseeker99,112,0.0007796825227094,0.0,0,1,0.4851242546605446,1,1.0,0
jejak_mutan,115,0.0007796825227094,0.0,0,1,0.729906794371814,1,1.0,0
