username,community,pagerank,betweenness,in_degree,out_degree,narrative_similarity,tweet_frequency,reply_ratio
JAditya36003,28,0.0041398125845318,0.0,0,1,0.20976713634649632,1,1.0
hoammss,28,0.0041398125845318,0.0,0,1,0.20607661724597046,1,1.0
marsusuka,1,0.0041398125845318,0.0,0,1,0.30106864493883206,1,1.0
Metro_TV,1,0.0076588499652898,0.0,1,0,0.44396274080232145,9,0.0
ml_sjyesung2,2,0.0041398125845318,0.0,0,1,0.5725391260559468,1,1.0
barengwarga,2,0.0111778873460477,0.0,2,0,0.5870331987314755,1,0.0
Bagoesaporla16,3,0.0041398125845318,0.0,0,1,0.0,1,1.0
monkmalonee,4,0.0041398125845318,0.0,0,1,0.0,1,1.0
Juliakango,5,0.0041398125845318,0.0,0,1,0.0,1,1.0
nalllinaa,6,0.0041398125845318,0.0,0,1,0.7071067811865475,2,0.5
kangKusnadi,28,0.0041398125845318,0.0,0,1,0.2896942752148495,1,1.0
fajarrrrrr,7,0.0041398125845318,0.0,0,1,0.3113066681520553,3,0.3333333333333333
detikcom,7,0.0111778873460477,0.0,2,0,0.29716474186869163,9,0.0
eventhoally,8,0.0041398125845318,0.0,0,1,0.0,1,1.0
ourloveisgreag,9,0.0041398125845318,0.0,0,1,0.0,1,1.0
